"Geslacht";"Persoonskenmerken";"Regio's";"Perioden";"Personen (x 1 000)";"Personen met persoonlijk inkomen (x 1 000)";"Aandeel personen (%)";"Gemiddeld gestandaardiseerd inkomen (1 000 euro)";"Mediaan gestandaardiseerd inkomen (1 000 euro)";"Gemiddeld persoonlijk inkomen (1 000 euro)";"Mediaan persoonlijk inkomen (1 000 euro)"
"Totaal mannen en vrouwen";"Totaal personen";"Eemsdelta";"2021";"    44.4";"    36.7";"     100";"    30.8";"    28.7";"    30.1";"    24.6"
"Totaal mannen en vrouwen";"Totaal personen";"Eersel";"2021";"    19.1";"    15.9";"     100";"    41.6";"    36.7";"    37.9";"    30.2"
"Totaal mannen en vrouwen";"Totaal personen";"Eijsden-Margraten";"2021";"    25.5";"    21.3";"     100";"    39.0";"    35.7";"    37.4";"    30.2"
"Totaal mannen en vrouwen";"Totaal personen";"Eindhoven";"2021";"   230.0";"   189.5";"     100";"    34.3";"    30.9";"    36.5";"    28.6"
"Totaal mannen en vrouwen";"Totaal personen";"Elburg";"2021";"    23.0";"    18.3";"     100";"    34.7";"    32.1";"    32.3";"    26.4"
"Totaal mannen en vrouwen";"Totaal personen";"Emmen";"2021";"   104.9";"    87.1";"     100";"    31.7";"    29.4";"    30.2";"    24.4"
"Totaal mannen en vrouwen";"Totaal personen";"Enkhuizen";"2021";"    18.3";"    15.1";"     100";"    35.7";"    31.5";"    32.8";"    27.0"
"Totaal mannen en vrouwen";"Totaal personen";"Enschede";"2021";"   154.0";"   126.5";"     100";"    30.5";"    28.1";"    30.1";"    23.6"
"Totaal mannen en vrouwen";"Totaal personen";"Epe";"2021";"    32.6";"    27.0";"     100";"    36.8";"    32.6";"    33.4";"    26.5"
"Totaal mannen en vrouwen";"Totaal personen";"Ermelo";"2021";"    25.6";"    21.1";"     100";"    38.1";"    33.5";"    35.3";"    28.4"
"Totaal mannen en vrouwen";"Totaal personen";"Etten-Leur";"2021";"    43.2";"    35.1";"     100";"    35.7";"    33.2";"    35.1";"    28.7"
"Totaal mannen en vrouwen";"Totaal personen";"De Fryske Marren";"2021";"    50.8";"    41.9";"     100";"    34.9";"    32.0";"    32.5";"    26.3"
"Totaal mannen en vrouwen";"Totaal personen";"Geertruidenberg";"2021";"    21.4";"    17.6";"     100";"    36.0";"    32.9";"    34.6";"    28.3"
"Totaal mannen en vrouwen";"Totaal personen";"Geldrop-Mierlo";"2021";"    39.7";"    32.7";"     100";"    37.5";"    33.5";"    36.5";"    28.5"
"Totaal mannen en vrouwen";"Totaal personen";"Gemert-Bakel";"2021";"    30.5";"    25.1";"     100";"    36.1";"    33.1";"    33.4";"    27.7"
"Totaal mannen en vrouwen";"Totaal personen";"Gennep";"2021";"    16.2";"    13.7";"     100";"    34.8";"    32.6";"    32.7";"    27.4"
"Totaal mannen en vrouwen";"Totaal personen";"Gilze en Rijen";"2021";"    25.7";"    21.3";"     100";"    35.6";"    33.4";"    33.8";"    27.8"
"Totaal mannen en vrouwen";"Totaal personen";"Goeree-Overflakkee";"2021";"    49.5";"    40.3";"     100";"    37.2";"    33.6";"    35.7";"    28.2"
"Totaal mannen en vrouwen";"Totaal personen";"Goes";"2021";"    37.6";"    31.4";"     100";"    35.2";"    32.1";"    34.0";"    27.5"
"Totaal mannen en vrouwen";"Totaal personen";"Goirle";"2021";"    23.5";"    19.3";"     100";"    37.9";"    34.9";"    36.6";"    29.8"
"Totaal mannen en vrouwen";"Totaal personen";"Gooise Meren";"2021";"    57.6";"    44.8";"     100";"    50.6";"    39.9";"    51.7";"    33.7"
"Totaal mannen en vrouwen";"Totaal personen";"Gorinchem";"2021";"    36.8";"    29.8";"     100";"    35.0";"    32.0";"    35.4";"    28.2"
"Totaal mannen en vrouwen";"Totaal personen";"Gouda";"2021";"    72.3";"    58.6";"     100";"    35.2";"    32.6";"    35.9";"    29.2"
"Totaal mannen en vrouwen";"Totaal personen";"'s-Gravenhage (gemeente)";"2021";"   529.7";"   415.6";"     100";"    34.8";"    29.7";"    36.9";"    27.3"
"Totaal mannen en vrouwen";"Totaal personen";"Groningen (gemeente)";"2021";"   224.2";"   187.9";"     100";"    31.2";"    27.9";"    31.9";"    25.0"
"Totaal mannen en vrouwen";"Totaal personen";"Gulpen-Wittem";"2021";"    13.9";"    11.9";"     100";"    36.2";"    33.1";"    34.4";"    27.2"
"Totaal mannen en vrouwen";"Totaal personen";"Haaksbergen";"2021";"    23.8";"    20.0";"     100";"    35.7";"    33.5";"    32.6";"    26.9"
"Totaal mannen en vrouwen";"Totaal personen";"Haarlem";"2021";"   159.7";"   128.7";"     100";"    38.3";"    34.3";"    40.5";"    31.5"
"Totaal mannen en vrouwen";"Totaal personen";"Haarlemmermeer";"2021";"   155.7";"   125.2";"     100";"    39.8";"    35.9";"    39.8";"    31.6"
"Totaal mannen en vrouwen";"Totaal personen";"Halderberge";"2021";"    29.8";"    24.7";"     100";"    35.7";"    33.0";"    34.4";"    27.3"
"Totaal mannen en vrouwen";"Totaal personen";"Hardenberg";"2021";"    60.1";"    48.7";"     100";"    34.4";"    32.0";"    31.4";"    26.5"
"Totaal mannen en vrouwen";"Totaal personen";"Harderwijk";"2021";"    47.7";"    38.5";"     100";"    35.3";"    32.7";"    34.5";"    28.4"
"Totaal mannen en vrouwen";"Totaal personen";"Hardinxveld-Giessendam";"2021";"    18.2";"    14.1";"     100";"    36.5";"    33.2";"    34.3";"    27.4"
"Totaal mannen en vrouwen";"Totaal personen";"Harlingen";"2021";"    15.5";"    12.9";"     100";"    31.3";"    28.7";"    29.7";"    23.8"
"Totaal mannen en vrouwen";"Totaal personen";"Hattem";"2021";"    12.1";"     9.7";"     100";"    37.9";"    33.5";"    36.2";"    28.9"
"Totaal mannen en vrouwen";"Totaal personen";"Heemskerk";"2021";"    38.5";"    32.0";"     100";"    36.1";"    33.5";"    35.4";"    29.1"
"Totaal mannen en vrouwen";"Totaal personen";"Heemstede";"2021";"    26.9";"    21.2";"     100";"    51.1";"    42.5";"    53.0";"    35.4"
"Totaal mannen en vrouwen";"Totaal personen";"Heerde";"2021";"    18.4";"    15.1";"     100";"    35.8";"    32.7";"    33.6";"    27.4"
"Totaal mannen en vrouwen";"Totaal personen";"Heerenveen";"2021";"    49.8";"    40.8";"     100";"    34.1";"    31.3";"    33.0";"    26.7"
"Totaal mannen en vrouwen";"Totaal personen";"Heerlen";"2021";"    84.8";"    71.4";"     100";"    29.3";"    26.8";"    29.5";"    24.1"
"Totaal mannen en vrouwen";"Totaal personen";"Heeze-Leende";"2021";"    15.9";"    13.2";"     100";"    41.1";"    37.6";"    39.3";"    30.8"
"Totaal mannen en vrouwen";"Totaal personen";"Heiloo";"2021";"    23.8";"    19.8";"     100";"    42.1";"    37.4";"    40.5";"    31.0"
"Totaal mannen en vrouwen";"Totaal personen";"Den Helder";"2021";"    54.6";"    45.6";"     100";"    31.7";"    29.8";"    31.6";"    26.9"
"Totaal mannen en vrouwen";"Totaal personen";"Hellendoorn";"2021";"    35.3";"    29.0";"     100";"    35.0";"    32.5";"    32.1";"    27.0"
"Totaal mannen en vrouwen";"Totaal personen";"Helmond";"2021";"    91.7";"    74.4";"     100";"    33.5";"    30.7";"    33.1";"    26.6"
"Totaal mannen en vrouwen";"Totaal personen";"Hendrik-Ido-Ambacht";"2021";"    30.9";"    23.7";"     100";"    38.4";"    35.2";"    39.0";"    31.6"
"Totaal mannen en vrouwen";"Totaal personen";"Hengelo (O.)";"2021";"    79.7";"    66.4";"     100";"    33.5";"    30.8";"    32.6";"    26.7"
"Totaal mannen en vrouwen";"Totaal personen";"'s-Hertogenbosch";"2021";"   152.8";"   126.3";"     100";"    37.2";"    33.7";"    38.0";"    30.0"
"Totaal mannen en vrouwen";"Totaal personen";"Heumen";"2021";"    16.3";"    13.6";"     100";"    39.7";"    36.2";"    38.4";"    30.8"
"Totaal mannen en vrouwen";"Totaal personen";"Heusden";"2021";"    44.5";"    36.7";"     100";"    37.6";"    34.3";"    35.6";"    28.4"
"Totaal mannen en vrouwen";"Totaal personen";"Hillegom";"2021";"    21.8";"    17.9";"     100";"    37.1";"    33.9";"    36.6";"    29.8"
"Totaal mannen en vrouwen";"Totaal personen";"Hilvarenbeek";"2021";"    15.5";"    13.1";"     100";"    39.8";"    36.9";"    36.3";"    29.9"
"Totaal mannen en vrouwen";"Totaal personen";"Hilversum";"2021";"    89.5";"    71.2";"     100";"    40.3";"    34.3";"    42.2";"    30.8"
"Totaal mannen en vrouwen";"Totaal personen";"Hoeksche Waard";"2021";"    86.9";"    70.9";"     100";"    39.2";"    35.2";"    37.7";"    30.2"
"Totaal mannen en vrouwen";"Totaal personen";"Hof van Twente";"2021";"    34.5";"    29.1";"     100";"    37.0";"    33.7";"    33.3";"    27.3"
"Totaal mannen en vrouwen";"Totaal personen";"Het Hogeland";"2021";"    47.0";"    38.5";"     100";"    32.3";"    29.9";"    30.7";"    25.5"
"Totaal mannen en vrouwen";"Totaal personen";"Hollands Kroon";"2021";"    48.1";"    40.2";"     100";"    35.8";"    32.7";"    32.7";"    26.9"
"Totaal mannen en vrouwen";"Totaal personen";"Hoogeveen";"2021";"    54.2";"    44.1";"     100";"    31.8";"    29.6";"    30.0";"    25.0"
"Totaal mannen en vrouwen";"Totaal personen";"Hoorn";"2021";"    72.7";"    59.4";"     100";"    34.6";"    32.1";"    34.0";"    28.0"
"Totaal mannen en vrouwen";"Totaal personen";"Horst aan de Maas";"2021";"    41.8";"    35.9";"     100";"    37.8";"    33.8";"    32.7";"    27.4"
"Totaal mannen en vrouwen";"Totaal personen";"Houten";"2021";"    49.7";"    39.4";"     100";"    41.1";"    37.9";"    42.1";"    33.9"
"Totaal mannen en vrouwen";"Totaal personen";"Huizen";"2021";"    40.3";"    33.0";"     100";"    40.0";"    34.4";"    38.9";"    29.4"
"Totaal mannen en vrouwen";"Totaal personen";"Hulst";"2021";"    26.9";"    22.4";"     100";"    35.3";"    32.6";"    34.9";"    27.6"
"Totaal mannen en vrouwen";"Totaal personen";"IJsselstein";"2021";"    33.4";"    27.3";"     100";"    38.7";"    35.4";"    38.0";"    30.7"
"Totaal mannen en vrouwen";"Totaal personen";"Kaag en Braassem";"2021";"    27.3";"    22.6";"     100";"    40.0";"    35.8";"    37.4";"    30.3"
"Totaal mannen en vrouwen";"Totaal personen";"Kampen";"2021";"    53.5";"    42.5";"     100";"    34.1";"    31.3";"    31.6";"    26.4"
"Totaal mannen en vrouwen";"Totaal personen";"Kapelle";"2021";"    12.8";"    10.3";"     100";"    36.6";"    34.2";"    35.0";"    28.4"
"Totaal mannen en vrouwen";"Totaal personen";"Katwijk";"2021";"    64.7";"    51.6";"     100";"    37.1";"    33.7";"    34.9";"    28.2"
"Totaal mannen en vrouwen";"Totaal personen";"Kerkrade";"2021";"    44.2";"    37.1";"     100";"    29.3";"    27.1";"    29.1";"    24.2"
"Totaal mannen en vrouwen";"Totaal personen";"Koggenland";"2021";"    22.6";"    18.9";"     100";"    38.3";"    35.4";"    34.4";"    28.6"
"Totaal mannen en vrouwen";"Totaal personen";"Krimpen aan den IJssel";"2021";"    28.9";"    23.2";"     100";"    36.0";"    32.7";"    34.9";"    27.6"
"Totaal mannen en vrouwen";"Totaal personen";"Krimpenerwaard";"2021";"    55.9";"    45.1";"     100";"    37.7";"    34.1";"    35.8";"    28.9"
"Totaal mannen en vrouwen";"Totaal personen";"Laarbeek";"2021";"    22.5";"    18.6";"     100";"    36.6";"    34.1";"    33.9";"    28.2"
"Totaal mannen en vrouwen";"Totaal personen";"Land van Cuijk";"2021";"    87.7";"    73.9";"     100";"    36.8";"    33.8";"    33.7";"    27.9"
"Totaal mannen en vrouwen";"Totaal personen";"Landgraaf";"2021";"    36.3";"    30.7";"     100";"    32.0";"    29.8";"    31.2";"    26.0"
"Totaal mannen en vrouwen";"Totaal personen";"Landsmeer";"2021";"    11.5";"     9.1";"     100";"    42.9";"    37.1";"    41.9";"    31.5"
"Totaal mannen en vrouwen";"Totaal personen";"Lansingerland";"2021";"    62.7";"    48.0";"     100";"    43.3";"    38.1";"    43.3";"    34.4"
"Totaal mannen en vrouwen";"Totaal personen";"Laren (NH.)";"2021";"    10.9";"     8.5";"     100";"    73.7";"    43.2";"    58.7";"    33.9"
"Totaal mannen en vrouwen";"Totaal personen";"Leeuwarden";"2021";"   121.3";"   100.1";"     100";"    31.1";"    29.2";"    30.8";"    25.5"
"Totaal mannen en vrouwen";"Totaal personen";"Leiden";"2021";"   120.8";"   100.3";"     100";"    34.8";"    31.5";"    37.0";"    29.1"
"Totaal mannen en vrouwen";"Totaal personen";"Leiderdorp";"2021";"    27.1";"    22.1";"     100";"    38.6";"    35.9";"    39.5";"    31.9"
"Totaal mannen en vrouwen";"Totaal personen";"Leidschendam-Voorburg";"2021";"    75.0";"    60.1";"     100";"    40.1";"    35.4";"    42.0";"    32.5"
"Totaal mannen en vrouwen";"Totaal personen";"Lelystad";"2021";"    78.5";"    62.4";"     100";"    33.0";"    30.5";"    33.0";"    27.1"
"Totaal mannen en vrouwen";"Totaal personen";"Leudal";"2021";"    34.9";"    29.9";"     100";"    36.9";"    33.9";"    33.9";"    28.1"
"Totaal mannen en vrouwen";"Totaal personen";"Leusden";"2021";"    30.1";"    24.6";"     100";"    41.0";"    36.5";"    39.8";"    32.6"
"Totaal mannen en vrouwen";"Totaal personen";"Lingewaard";"2021";"    46.2";"    37.9";"     100";"    36.5";"    34.0";"    34.9";"    28.4"
"Totaal mannen en vrouwen";"Totaal personen";"Lisse";"2021";"    22.8";"    18.9";"     100";"    37.8";"    34.4";"    36.0";"    29.1"
"Totaal mannen en vrouwen";"Totaal personen";"Lochem";"2021";"    33.2";"    27.9";"     100";"    40.0";"    34.5";"    36.3";"    28.5"
"Totaal mannen en vrouwen";"Totaal personen";"Loon op Zand";"2021";"    23.2";"    19.4";"     100";"    36.9";"    33.6";"    34.2";"    28.2"
"Totaal mannen en vrouwen";"Totaal personen";"Lopik";"2021";"    14.3";"    11.6";"     100";"    39.2";"    35.8";"    35.5";"    29.0"
"Totaal mannen en vrouwen";"Totaal personen";"Losser";"2021";"    22.3";"    18.5";"     100";"    34.8";"    31.9";"    31.6";"    26.1"
"Totaal mannen en vrouwen";"Totaal personen";"Maasdriel";"2021";"    25.1";"    20.6";"     100";"    38.2";"    34.4";"    35.6";"    28.1"
"Totaal mannen en vrouwen";"Totaal personen";"Maasgouw";"2021";"    23.0";"    19.7";"     100";"    36.4";"    33.6";"    34.6";"    28.2"
