"Sector en vermogensklasse";"Regio's";"Perioden";"Installaties (aantal)";"Opgesteld vermogen van zonnepanelen (kWp)";"Opgesteld vermogen omvormers (kW)";"Productie van zonnestroom (mln kWh)"
"Woningen";"Bunschoten";"2021 ";"    1768";"    6660";"";"       ."
"Woningen";"Bunschoten";"2022";"    2680";"   10323";"    9626";"       ."
"Woningen";"Buren";"2019";"    1658";"    6522";"";"       ."
"Woningen";"Buren";"2020";"    2294";"    9474";"";"       ."
"Woningen";"Buren";"2021 ";"    2998";"   12833";"";"       ."
"Woningen";"Buren";"2022";"    4050";"   18149";"   17146";"       ."
"Woningen";"Capelle aan den IJssel";"2019";"    1883";"    4759";"";"       ."
"Woningen";"Capelle aan den IJssel";"2020";"    2359";"    6360";"";"       ."
"Woningen";"Capelle aan den IJssel";"2021 ";"    3058";"    8878";"";"       ."
"Woningen";"Capelle aan den IJssel";"2022";"    4443";"   14140";"   13185";"       ."
"Woningen";"Castricum";"2019";"    3486";"   10033";"";"       ."
"Woningen";"Castricum";"2020";"    4556";"   13595";"";"       ."
"Woningen";"Castricum";"2021 ";"    5798";"   17420";"";"       ."
"Woningen";"Castricum";"2022";"    7085";"   22100";"   21205";"       ."
"Woningen";"Coevorden";"2019";"    3961";"   13245";"";"       ."
"Woningen";"Coevorden";"2020";"    4828";"   17072";"";"       ."
"Woningen";"Coevorden";"2021 ";"    5558";"   20039";"";"       ."
"Woningen";"Coevorden";"2022";"    6588";"   25567";"   24499";"       ."
"Woningen";"Cranendonck";"2019";"    1529";"    6403";"";"       ."
"Woningen";"Cranendonck";"2020";"    2072";"    9130";"";"       ."
"Woningen";"Cranendonck";"2021 ";"    2678";"   12204";"";"       ."
"Woningen";"Cranendonck";"2022";"    3497";"   16581";"   15621";"       ."
"Woningen";"Cuijk";"2019";"    1740";"    6438";"";"       ."
"Woningen";"Cuijk";"2020";"    2444";"    9320";"";"       ."
"Woningen";"Cuijk";"2021 ";"    3176";"   12521";"";"       ."
"Woningen";"Cuijk";"2022";"";"";"";""
"Woningen";"Culemborg";"2019";"    2205";"    6596";"";"       ."
"Woningen";"Culemborg";"2020";"    2775";"    8862";"";"       ."
"Woningen";"Culemborg";"2021 ";"    3475";"   11177";"";"       ."
"Woningen";"Culemborg";"2022";"    4464";"   14817";"   13987";"       ."
"Woningen";"Dalfsen";"2019";"    3145";"   11570";"";"       ."
"Woningen";"Dalfsen";"2020";"    3836";"   14788";"";"       ."
"Woningen";"Dalfsen";"2021 ";"    4612";"   17802";"";"       ."
"Woningen";"Dalfsen";"2022";"    5502";"   22329";"   21293";"       ."
"Woningen";"Dantumadiel";"2019";"    1360";"    4771";"";"       ."
"Woningen";"Dantumadiel";"2020";"    2344";"    7945";"";"       ."
"Woningen";"Dantumadiel";"2021 ";"    3228";"   10862";"";"       ."
"Woningen";"Dantumadiel";"2022";"    4117";"   14249";"   13293";"       ."
"Woningen";"Delft";"2019";"    3499";"    8616";"";"       ."
"Woningen";"Delft";"2020";"    4275";"   11689";"";"       ."
"Woningen";"Delft";"2021 ";"    5446";"   15995";"";"       ."
"Woningen";"Delft";"2022";"    7202";"   22177";"   20987";"       ."
"Woningen";"Delfzijl";"2019";"    2599";"    8837";"";"       ."
"Woningen";"Delfzijl";"2020";"    3017";"   10412";"";"       ."
"Woningen";"Delfzijl";"2021 ";"";"";"";""
"Woningen";"Delfzijl";"2022";"";"";"";""
"Woningen";"Deurne";"2019";"    1767";"    7278";"";"       ."
"Woningen";"Deurne";"2020";"    2520";"   10794";"";"       ."
"Woningen";"Deurne";"2021 ";"    3364";"   15139";"";"       ."
"Woningen";"Deurne";"2022";"    4731";"   21756";"   20506";"       ."
"Woningen";"Deventer";"2019";"    5054";"   16773";"";"       ."
"Woningen";"Deventer";"2020";"    6862";"   23561";"";"       ."
"Woningen";"Deventer";"2021 ";"    8956";"   31422";"";"       ."
"Woningen";"Deventer";"2022";"   11088";"   40578";"   38250";"       ."
"Woningen";"Diemen";"2019";"    1026";"    3357";"";"       ."
"Woningen";"Diemen";"2020";"    1381";"    4480";"";"       ."
"Woningen";"Diemen";"2021 ";"    2087";"    6285";"";"       ."
"Woningen";"Diemen";"2022";"    2816";"    8537";"    8256";"       ."
"Woningen";"Dijk en Waard";"2019";"";"";"";""
"Woningen";"Dijk en Waard";"2020";"";"";"";""
"Woningen";"Dijk en Waard";"2021 ";"";"";"";""
"Woningen";"Dijk en Waard";"2022";"   16053";"   53716";"   51495";"       ."
"Woningen";"Dinkelland";"2019";"    1780";"    7903";"";"       ."
"Woningen";"Dinkelland";"2020";"    2342";"   10978";"";"       ."
"Woningen";"Dinkelland";"2021 ";"    2962";"   14405";"";"       ."
"Woningen";"Dinkelland";"2022";"    3843";"   20276";"   19107";"       ."
"Woningen";"Doesburg";"2019";"     615";"    2183";"";"       ."
"Woningen";"Doesburg";"2020";"     856";"    3145";"";"       ."
"Woningen";"Doesburg";"2021 ";"    1039";"    3872";"";"       ."
"Woningen";"Doesburg";"2022";"    1412";"    5161";"    4987";"       ."
"Woningen";"Doetinchem";"2019";"    4426";"   15066";"";"       ."
"Woningen";"Doetinchem";"2020";"    5536";"   19792";"";"       ."
"Woningen";"Doetinchem";"2021 ";"    6758";"   24588";"";"       ."
"Woningen";"Doetinchem";"2022";"    9033";"   33723";"   32365";"       ."
"Woningen";"Dongen";"2019";"    1429";"    5304";"";"       ."
"Woningen";"Dongen";"2020";"    2044";"    8266";"";"       ."
"Woningen";"Dongen";"2021 ";"    2747";"   11230";"";"       ."
"Woningen";"Dongen";"2022";"    3450";"   14935";"   14082";"       ."
"Woningen";"Dordrecht";"2019";"    3233";"   10032";"";"       ."
"Woningen";"Dordrecht";"2020";"    4424";"   14141";"";"       ."
"Woningen";"Dordrecht";"2021 ";"    6013";"   19746";"";"       ."
"Woningen";"Dordrecht";"2022";"    9127";"   31515";"   29464";"       ."
"Woningen";"Drechterland";"2019";"    1784";"    6163";"";"       ."
"Woningen";"Drechterland";"2020";"    2277";"    8040";"";"       ."
"Woningen";"Drechterland";"2021 ";"    2909";"   10397";"";"       ."
"Woningen";"Drechterland";"2022";"    3727";"   14015";"   13349";"       ."
"Woningen";"Drimmelen";"2019";"    1351";"    4990";"";"       ."
"Woningen";"Drimmelen";"2020";"    1841";"    7234";"";"       ."
"Woningen";"Drimmelen";"2021 ";"    2436";"    9968";"";"       ."
"Woningen";"Drimmelen";"2022";"    3371";"   14607";"   13711";"       ."
"Woningen";"Dronten";"2019";"    3843";"   14324";"";"       ."
"Woningen";"Dronten";"2020";"    4907";"   18650";"";"       ."
"Woningen";"Dronten";"2021 ";"    5999";"   23162";"";"       ."
"Woningen";"Dronten";"2022";"    7321";"   29297";"   28185";"       ."
"Woningen";"Druten";"2019";"    1138";"    4394";"";"       ."
"Woningen";"Druten";"2020";"    1634";"    6733";"";"       ."
"Woningen";"Druten";"2021 ";"    2167";"    9103";"";"       ."
"Woningen";"Druten";"2022";"    2875";"   12120";"   11528";"       ."
"Woningen";"Duiven";"2019";"    1528";"    5785";"";"       ."
"Woningen";"Duiven";"2020";"    1998";"    7865";"";"       ."
"Woningen";"Duiven";"2021 ";"    2553";"   10217";"";"       ."
"Woningen";"Duiven";"2022";"    3380";"   13650";"   13131";"       ."
"Woningen";"Echt-Susteren";"2019";"    2694";"   10853";"";"       ."
"Woningen";"Echt-Susteren";"2020";"    3621";"   14804";"";"       ."
"Woningen";"Echt-Susteren";"2021 ";"    4495";"   19068";"";"       ."
"Woningen";"Echt-Susteren";"2022";"    5615";"   24864";"   23784";"       ."
"Woningen";"Edam-Volendam";"2019";"    1593";"    5704";"";"       ."
"Woningen";"Edam-Volendam";"2020";"    2351";"    8569";"";"       ."
"Woningen";"Edam-Volendam";"2021 ";"    2848";"   10561";"";"       ."
