"Zonnestroom; vermogen en vermogensklasse, bedrijven en woningen, regio"
"Sector en vermogensklasse: Alle economische activiteit en woningen"
"";"";"Onderwerp"
"";"";"Installaties";"Opgesteld vermogen van zonnepanelen";"Opgesteld vermogen omvormers";"Productie van zonnestroom"
"Perioden";"Regio's";"aantal";"kWp";"kW";"mln kWh"
"2019";"Medemblik";"4465";"44925";"";"."
"2019";"Meerssen";"1722";"8569";"";"."
"2019";"Meierijstad";"6978";"66716";"";"."
"2019";"Meppel";"2749";"13189";"";"."
"2019";"Middelburg (Z.)";"4228";"29719";"";"."
"2019";"Midden-Delfland";"1755";"7773";"";"."
"2019";"Midden-Drenthe";"4712";"25953";"";"."
"2019";"Midden-Groningen";"7094";"138323";"";"."
"2019";"Mill en Sint Hubert";"873";"6796";"";"."
"2019";"Moerdijk";"2564";"52290";"";"."
"2019";"Molenlanden";"2543";"19219";"";"."
"2019";"Montferland";"3508";"23308";"";"."
"2019";"Montfoort";"954";"9301";"";"."
"2019";"Mook en Middelaar";"700";"3317";"";"."
"2019";"Neder-Betuwe";"1364";"14479";"";"."
"2019";"Nederweert";"1964";"24378";"";"."
"2019";"Nieuwegein";"2632";"23815";"";"."
"2019";"Nieuwkoop";"1844";"10263";"";"."
"2019";"Nijkerk";"3548";"25154";"";"."
"2019";"Nijmegen";"9848";"39572";"";"."
"2019";"Nissewaard";"4134";"14144";"";"."
"2019";"Noardeast-Fryslân";"3400";"24572";"";"."
"2019";"Noord-Beveland";"1051";"7739";"";"."
"2019";"Noordenveld";"3406";"15789";"";"."
"2019";"Noordoostpolder";"3656";"92190";"";"."
"2019";"Noordwijk";"2394";"15043";"";"."
"2019";"Nuenen, Gerwen en Nederwetten";"1817";"8706";"";"."
"2019";"Nunspeet";"1530";"7874";"";"."
"2019";"Oegstgeest";"1493";"4918";"";"."
"2019";"Oirschot";"1198";"12704";"";"."
"2019";"Oisterwijk";"1438";"10152";"";"."
"2019";"Oldambt";"2300";"22207";"";"."
"2019";"Oldebroek";"1738";"11665";"";"."
"2019";"Oldenzaal";"2083";"14177";"";"."
"2019";"Olst-Wijhe";"2148";"11019";"";"."
"2019";"Ommen";"1603";"13514";"";"."
"2019";"Oost Gelre";"2439";"19733";"";"."
"2019";"Oosterhout";"3316";"20607";"";"."
"2019";"Ooststellingwerf";"3575";"48515";"";"."
"2019";"Oostzaan";"548";"3835";"";"."
"2019";"Opmeer";"1135";"6685";"";"."
"2019";"Opsterland";"2637";"18160";"";"."
"2019";"Oss";"5932";"43587";"";"."
"2019";"Oude IJsselstreek";"3607";"23685";"";"."
"2019";"Ouder-Amstel";"694";"4305";"";"."
"2019";"Oudewater";"675";"4611";"";"."
"2019";"Overbetuwe";"3386";"19943";"";"."
"2019";"Papendrecht";"1262";"5819";"";"."
"2019";"Peel en Maas";"4965";"39195";"";"."
"2019";"Pekela";"648";"6944";"";"."
"2019";"Pijnacker-Nootdorp";"3631";"21837";"";"."
"2019";"Purmerend";"3050";"18774";"";"."
"2019";"Putten";"1404";"9595";"";"."
"2019";"Raalte";"4644";"30870";"";"."
"2019";"Reimerswaal";"2204";"38644";"";"."
"2019";"Renkum";"2064";"8566";"";"."
"2019";"Renswoude";"358";"3860";"";"."
"2019";"Reusel-De Mierden";"908";"14882";"";"."
"2019";"Rheden";"2210";"11985";"";"."
"2019";"Rhenen";"1392";"8756";"";"."
"2019";"Ridderkerk";"2314";"11483";"";"."
"2019";"Rijssen-Holten";"2510";"17494";"";"."
"2019";"Rijswijk (ZH.)";"2625";"8555";"";"."
"2019";"Roerdalen";"2194";"11613";"";"."
"2019";"Roermond";"4151";"19648";"";"."
"2019";"De Ronde Venen";"3731";"15315";"";"."
"2019";"Roosendaal";"4196";"25394";"";"."
"2019";"Rotterdam";"9840";"50922";"";"."
"2019";"Rozendaal";"110";"747";"";"."
"2019";"Rucphen";"1245";"7356";"";"."
"2019";"Schagen";"3796";"38012";"";"."
"2019";"Scherpenzeel";"477";"3619";"";"."
"2019";"Schiedam";"1507";"6884";"";"."
"2019";"Schiermonnikoog";"142";"1641";"";"."
"2019";"Schouwen-Duiveland";"3786";"35124";"";"."
"2019";"Simpelveld";"977";"4105";"";"."
"2019";"Sint Anthonis";"972";"11450";"";"."
"2019";"Sint-Michielsgestel";"2368";"13001";"";"."
"2019";"Sittard-Geleen";"6829";"33666";"";"."
"2019";"Sliedrecht";"1056";"7977";"";"."
"2019";"Sluis";"2371";"11505";"";"."
"2019";"Smallingerland";"4316";"25112";"";"."
"2019";"Soest";"2650";"14463";"";"."
"2019";"Someren";"1894";"23036";"";"."
"2019";"Son en Breugel";"1482";"19556";"";"."
"2019";"Stadskanaal";"2125";"32353";"";"."
"2019";"Staphorst";"1203";"12102";"";"."
"2019";"Stede Broec";"2090";"9135";"";"."
"2019";"Steenbergen";"1987";"12975";"";"."
"2019";"Steenwijkerland";"3395";"18764";"";"."
"2019";"Stein (L.)";"3169";"13610";"";"."
"2019";"Stichtse Vecht";"3389";"13434";"";"."
"2019";"Súdwest-Fryslân";"7764";"49342";"";"."
"2019";"Terneuzen";"4785";"28331";"";"."
"2019";"Terschelling";"394";"3033";"";"."
"2019";"Texel";"1459";"10156";"";"."
"2019";"Teylingen";"2629";"15135";"";"."
"2019";"Tholen";"2598";"13950";"";"."
"2019";"Tiel";"2028";"14422";"";"."
"2019";"Tilburg";"9648";"76774";"";"."
"2019";"Tubbergen";"1370";"12162";"";"."
"2019";"Twenterand";"2378";"26661";"";"."
"2019";"Tynaarlo";"3831";"48947";"";"."
"2019";"Tytsjerksteradiel";"3305";"27567";"";"."
"2019";"Uden";"4170";"37706";"";"."
"2019";"Uitgeest";"1360";"4389";"";"."
"2019";"Uithoorn";"1563";"10723";"";"."
"2019";"Urk";"956";"7978";"";"."
"2019";"Utrecht (gemeente)";"15177";"74434";"";"."
"2019";"Utrechtse Heuvelrug";"3386";"13869";"";"."
"2019";"Vaals";"805";"2950";"";"."
"2019";"Valkenburg aan de Geul";"1232";"6141";"";"."
"2019";"Valkenswaard";"2471";"10630";"";"."
"2019";"Veendam";"1421";"32531";"";"."
"2019";"Veenendaal";"4149";"18862";"";"."
"2019";"Veere";"3195";"15208";"";"."
"2019";"Veldhoven";"3170";"18516";"";"."
"2019";"Velsen";"2542";"15511";"";"."
"2019";"Venlo";"7935";"55615";"";"."
"2019";"Venray";"4912";"38070";"";"."
"2019";"Vijfheerenlanden";"4194";"25402";"";"."
"2019";"Vlaardingen";"2142";"7625";"";"."
"2019";"Vlieland";"130";"1755";"";"."
"2019";"Vlissingen";"5127";"17937";"";"."
"2019";"Voerendaal";"1291";"5851";"";"."
"2019";"Voorne aan Zee";"";"";"";""
"2019";"Voorschoten";"1027";"3851";"";"."
"2019";"Voorst";"1854";"10554";"";"."
"2019";"Vught";"1184";"5646";"";"."
"2019";"Waadhoeke";"3639";"39969";"";"."
"2019";"Waalre";"1362";"6282";"";"."
"2019";"Waalwijk";"2173";"21872";"";"."
"2019";"Waddinxveen";"1774";"12268";"";"."
"2019";"Wageningen";"2884";"12508";"";"."
"2019";"Wassenaar";"878";"3335";"";"."
"2019";"Waterland";"976";"4169";"";"."
"2019";"Weert";"4275";"32706";"";"."
"2019";"Weesp";"1117";"5786";"";"."
"2019";"West Betuwe";"4031";"43576";"";"."
"2019";"West Maas en Waal";"2451";"18956";"";"."
"2019";"Westerkwartier";"5696";"55837";"";"."
"2019";"Westerveld";"3029";"14118";"";"."
"2019";"Westervoort";"871";"3838";"";"."
"2019";"Westerwolde";"1717";"11073";"";"."
"2019";"Westland";"6396";"55447";"";"."
"2019";"Weststellingwerf";"1946";"26334";"";"."
"2019";"Westvoorne";"1288";"7933";"";"."
"2019";"Wierden";"1847";"17868";"";"."
"2019";"Wijchen";"3116";"16841";"";"."
"2019";"Wijdemeren";"1465";"8848";"";"."
"2019";"Wijk bij Duurstede";"1616";"8647";"";"."
"2019";"Winterswijk";"2350";"14464";"";"."
"2019";"Woensdrecht";"1386";"9872";"";"."
"2019";"Woerden";"3591";"23046";"";"."
"2019";"De Wolden";"3554";"18840";"";"."
"2019";"Wormerland";"1348";"4943";"";"."
"2019";"Woudenberg";"1182";"5756";"";"."
"2019";"Zaanstad";"6076";"36499";"";"."
"2019";"Zaltbommel";"2512";"17795";"";"."
"2019";"Zandvoort";"361";"1545";"";"."
"2019";"Zeewolde";"2062";"32595";"";"."
"2019";"Zeist";"2813";"11901";"";"."
"2019";"Zevenaar";"3049";"18611";"";"."
"2019";"Zoetermeer";"5662";"22291";"";"."
"2019";"Zoeterwoude";"678";"5278";"";"."
"2019";"Zuidplas";"2645";"15562";"";"."
"2019";"Zundert";"1454";"11131";"";"."
"2019";"Zutphen";"2859";"15996";"";"."
"2019";"Zwartewaterland";"1352";"17369";"";"."
"2019";"Zwijndrecht";"1547";"7965";"";"."
"2019";"Zwolle";"10404";"61446";"";"."
"2019";"Gemeenten; niet in te delen";"359";"1303";"";"1"
"2020";"Nederland";"1383888";"11108427";"";"8567"
"2020";"Aa en Hunze";"3680";"26174";"";"."
"2020";"Aalsmeer";"2513";"19234";"";"."
"2020";"Aalten";"2769";"23723";"";"."
"2020";"Achtkarspelen";"2561";"30455";"";"."
"2020";"Alblasserdam";"872";"4982";"";"."
"2020";"Albrandswaard";"1558";"13247";"";"."
"2020";"Alkmaar";"9067";"47118";"";"."
"2020";"Almelo";"4421";"70735";"";"."
"2020";"Almere";"15175";"103265";"";"."
"2020";"Alphen aan den Rijn";"10189";"53012";"";"."
"2020";"Alphen-Chaam";"881";"9931";"";"."
