Gemeentenummer 2021;Gemeentenaam 2021;Gebruiksfunctie;Geen plat dak (m2);Wel plat dak (m2);Onbekend (m2);Dakoppervlak totaal (m2)
;;winkelfunctie;7738;104153;0;111891
;;woonfunctie;1206808;671781;28379;1906968
363;Amsterdam;onbekend;444248;2347244;46922;2838415
;;bijeenkomstfunctie;223200;820998;12152;1056350
;;celfunctie;0;5348;0;5348
;;gezondheidszorgfunctie;10560;252305;1511;264377
;;industriefunctie;188838;2927759;42136;3158733
;;kantoorfunctie;263106;1624776;102624;1990506
;;logiesfunctie;41586;185296;6204;233086
;;onderwijsfunctie;100388;681100;8226;789714
;;overige gebruiksfunctie;213586;1390995;42355;1646936
;;sportfunctie;26354;263546;1230;291130
;;standplaats;31;327;0;359
;;winkelfunctie;186059;959252;9230;1154541
;;woonfunctie;4363506;7462128;264888;12090522
370;Beemster;onbekend;313913;246618;6174;566704
;;bijeenkomstfunctie;5195;1277;0;6471
;;gezondheidszorgfunctie;3306;4132;0;7438
;;industriefunctie;15038;44645;1194;60877
;;kantoorfunctie;1904;18187;0;20090
;;logiesfunctie;1410;1638;0;3048
;;onderwijsfunctie;0;3790;0;3790
;;overige gebruiksfunctie;4907;17150;0;22057
;;sportfunctie;0;9490;0;9490
;;winkelfunctie;14660;4468;0;19128
;;woonfunctie;383928;57516;11847;453291
373;Bergen (NH.);onbekend;203391;236670;4683;444744
;;bijeenkomstfunctie;10979;10015;0;20994
;;gezondheidszorgfunctie;1881;1880;0;3760
;;industriefunctie;7537;34275;2828;44640
;;kantoorfunctie;8242;27558;17;35817
;;logiesfunctie;103219;50738;782;154740
;;onderwijsfunctie;3741;19443;155;23339
;;overige gebruiksfunctie;20508;81864;429;102800
;;sportfunctie;2543;17600;0;20143
;;standplaats;55;2819;0;2875
;;winkelfunctie;11290;20344;0;31634
;;woonfunctie;935635;351865;7789;1295289
375;Beverwijk;onbekend;46351;256153;9373;311877
;;bijeenkomstfunctie;16724;44933;149;61806
;;gezondheidszorgfunctie;3131;12130;0;15261
;;industriefunctie;39430;725681;75;765186
;;kantoorfunctie;5183;77646;0;82829
;;logiesfunctie;211;386;0;597
;;onderwijsfunctie;310;28155;0;28465
;;overige gebruiksfunctie;5123;41477;32;46632
;;sportfunctie;1489;30375;0;31865
;;winkelfunctie;8674;106226;0;114899
;;woonfunctie;610742;346557;13866;971164
376;Blaricum;onbekend;51004;16764;4902;72671
;;bijeenkomstfunctie;5063;898;0;5962
;;gezondheidszorgfunctie;321;12341;0;12663
;;industriefunctie;1251;3050;2497;6799
;;kantoorfunctie;2040;4650;2264;8955
;;logiesfunctie;40;0;0;40
;;onderwijsfunctie;325;5243;0;5569
;;overige gebruiksfunctie;6360;1364;543;8267
;;sportfunctie;3970;1553;0;5523
;;winkelfunctie;4346;7715;0;12061
;;woonfunctie;387477;44864;38406;470748
377;Bloemendaal;onbekend;79463;77613;794;157870
;;bijeenkomstfunctie;14029;15510;0;29540
;;gezondheidszorgfunctie;3969;24762;0;28731
;;industriefunctie;4284;15483;0;19767
;;kantoorfunctie;6265;6055;0;12320
;;logiesfunctie;325;2452;2811;5588
;;onderwijsfunctie;8399;16559;0;24958
;;overige gebruiksfunctie;4727;8615;32;13373
;;sportfunctie;2061;11299;0;13360
;;winkelfunctie;6544;4516;0;11060
;;woonfunctie;701750;183715;10568;896033
383;Castricum;onbekend;140159;182712;2454;325325
;;bijeenkomstfunctie;9970;26257;526;36752
;;gezondheidszorgfunctie;8397;7073;0;15470
;;industriefunctie;23085;81717;594;105397
;;kantoorfunctie;5219;21427;0;26646
;;logiesfunctie;1715;7589;50;9354
;;onderwijsfunctie;125;35522;0;35647
;;overige gebruiksfunctie;13320;28155;187;41663
;;sportfunctie;1587;6900;182;8670
;;winkelfunctie;5304;73389;0;78693
;;woonfunctie;959499;267663;23181;1250343
384;Diemen;onbekend;22529;84788;3287;110605
;;bijeenkomstfunctie;1834;18133;170;20137
;;gezondheidszorgfunctie;1385;6263;0;7648
;;industriefunctie;1937;66629;323;68889
;;kantoorfunctie;4869;80436;0;85306
;;ligplaats;42;0;0;42
;;logiesfunctie;0;1718;0;1718
;;onderwijsfunctie;2759;21714;0;24473
;;overige gebruiksfunctie;6703;97965;1472;106140
;;sportfunctie;507;10526;0;11034
;;winkelfunctie;1751;19693;0;21444
;;woonfunctie;311518;225600;25050;562167
385;Edam-Volendam;onbekend;120226;181550;3389;305164
;;bijeenkomstfunctie;18546;16974;0;35519
;;gezondheidszorgfunctie;2007;4674;0;6681
;;industriefunctie;28428;262548;1617;292593
;;kantoorfunctie;6437;29537;0;35974
;;logiesfunctie;2798;4054;0;6852
;;onderwijsfunctie;2235;32057;0;34292
;;overige gebruiksfunctie;7571;15520;21;23112
;;sportfunctie;2158;23455;0;25613
;;winkelfunctie;15665;52810;44;68520
;;woonfunctie;1017411;161195;23066;1201671
388;Enkhuizen;onbekend;183940;152742;15294;351976
;;bijeenkomstfunctie;17030;10904;59;27993
;;gezondheidszorgfunctie;1224;5662;0;6886
;;industriefunctie;13703;220654;3294;237652
;;kantoorfunctie;3310;29793;166;33270
;;logiesfunctie;2217;1819;484;4520
;;onderwijsfunctie;565;14537;1371;16472
;;overige gebruiksfunctie;2422;8625;44;11091
;;sportfunctie;134;12175;0;12309
;;winkelfunctie;17265;74926;843;93034
;;woonfunctie;444376;129880;8356;582613
392;Haarlem;onbekend;179640;653177;7866;840683
;;bijeenkomstfunctie;40667;76824;625;118116
;;gezondheidszorgfunctie;3172;27436;138;30746
;;industriefunctie;43846;486756;2792;533394
;;kantoorfunctie;40788;184662;0;225450
;;ligplaats;18;7;0;25
;;logiesfunctie;1500;16640;0;18141
;;onderwijsfunctie;25039;145798;0;170837
;;overige gebruiksfunctie;32333;170030;3606;205969
;;sportfunctie;4888;55139;0;60027
;;standplaats;103;4190;0;4294
;;winkelfunctie;39232;151445;168;190846
;;woonfunctie;1911871;1676989;41055;3629916
394;Haarlemmermeer;onbekend;694225;1682101;29496;2405823
;;bijeenkomstfunctie;17750;55765;1374;74890
;;celfunctie;0;35041;0;35041
;;gezondheidszorgfunctie;5010;56239;0;61249
;;industriefunctie;423553;2389360;458079;3270992
;;kantoorfunctie;40899;719089;4088;764076
;;logiesfunctie;10847;103145;2677;116669
;;onderwijsfunctie;10979;160718;0;171697
;;overige gebruiksfunctie;97479;532587;8923;638989
;;sportfunctie;4452;98116;1385;103953
;;standplaats;47;0;0;47
;;winkelfunctie;19567;458596;744;478907
;;woonfunctie;2905920;1340033;100029;4345982
396;Heemskerk;onbekend;94898;197944;6768;299609
;;bijeenkomstfunctie;8295;16660;0;24954
;;gezondheidszorgfunctie;982;22526;0;23508
;;industriefunctie;152623;116034;275;268932
;;kantoorfunctie;2097;41695;0;43792
;;logiesfunctie;2275;162;0;2438
;;onderwijsfunctie;0;20241;5910;26151
;;overige gebruiksfunctie;10503;55638;1484;67624
;;sportfunctie;249;17216;7652;25116
;;winkelfunctie;8376;74356;197;82929
;;woonfunctie;770281;256954;11215;1038450
397;Heemstede;onbekend;40785;106597;643;148024
;;bijeenkomstfunctie;6765;19052;0;25817
;;gezondheidszorgfunctie;2911;11853;0;14764
;;industriefunctie;1542;30422;0;31964
;;kantoorfunctie;6214;24164;0;30378
;;onderwijsfunctie;5904;12940;0;18844
;;overige gebruiksfunctie;8290;62391;529;71210
;;sportfunctie;110;15402;0;15512
;;winkelfunctie;8982;36899;0;45881
;;woonfunctie;630214;194974;5811;831000
398;Heerhugowaard;onbekend;678771;732599;8789;1420159
;;bijeenkomstfunctie;4098;46431;105;50634
;;gezondheidszorgfunctie;16533;10147;0;26680
;;industriefunctie;439184;616403;545;1056132
;;kantoorfunctie;22368;99051;13678;135098
;;logiesfunctie;322;4667;0;4989
;;onderwijsfunctie;2979;52687;0;55666
;;overige gebruiksfunctie;4178;51193;4;55375
;;sportfunctie;0;28580;0;28580
;;winkelfunctie;8526;188577;3450;200552
;;woonfunctie;1066701;561367;57141;1685209
399;Heiloo;onbekend;118693;91238;3068;212999
;;bijeenkomstfunctie;6250;24549;0;30799
;;gezondheidszorgfunctie;5559;24013;0;29571
;;industriefunctie;14678;76437;155;91270
;;kantoorfunctie;2511;11221;1962;15693
;;logiesfunctie;480;6003;0;6483
;;onderwijsfunctie;131;14050;0;14181
;;overige gebruiksfunctie;4592;19054;154;23800
;;sportfunctie;559;6194;0;6753
;;winkelfunctie;6544;41292;0;47836
;;woonfunctie;613490;174815;20423;808728
400;Den Helder;onbekend;102508;297784;2108;402400
;;bijeenkomstfunctie;13333;98198;92;111623
;;gezondheidszorgfunctie;1546;27457;0;29003
;;industriefunctie;39561;375424;3190;418175
;;kantoorfunctie;14263;96938;3710;114912
;;logiesfunctie;65233;59376;811;125420
;;onderwijsfunctie;8102;73196;0;81298
;;overige gebruiksfunctie;11728;112210;1318;125256
;;sportfunctie;452;31274;119;31844
;;winkelfunctie;17322;168221;1597;187139
;;woonfunctie;1100410;606559;27865;1734834
402;Hilversum;onbekend;162871;269449;6650;438970
;;bijeenkomstfunctie;21121;62006;112;83239
;;gezondheidszorgfunctie;6257;47858;0;54114
;;industriefunctie;14996;155913;2286;173195
;;kantoorfunctie;36938;273905;5736;316579
;;logiesfunctie;2302;13823;0;16126
;;onderwijsfunctie;9178;88605;0;97783
;;overige gebruiksfunctie;28875;234786;2069;265729
;;sportfunctie;4450;36339;0;40789
;;standplaats;323;0;0;323
;;winkelfunctie;37161;172794;1485;211440
;;woonfunctie;1723073;591802;39984;2354859
405;Hoorn;onbekend;67696;170764;3145;241606
;;bijeenkomstfunctie;20981;40346;0;61327
;;celfunctie;0;5955;0;5955
;;gezondheidszorgfunctie;2300;37371;0;39670
;;industriefunctie;15698;478486;4804;498989
;;kantoorfunctie;13491;88903;737;103130
;;logiesfunctie;1739;1715;0;3454
;;onderwijsfunctie;6885;92901;0;99786
;;overige gebruiksfunctie;5641;26759;70;32470
;;sportfunctie;2227;58356;0;60583
;;winkelfunctie;34141;308383;2307;344831
;;woonfunctie;1570660;402205;34131;2006997
406;Huizen;onbekend;64285;106363;1499;172147
;;bijeenkomstfunctie;13021;23868;163;37052
;;gezondheidszorgfunctie;1053;5933;210;7196
;;industriefunctie;7617;92411;1196;101224
;;kantoorfunctie;5890;37318;0;43208
;;logiesfunctie;1626;30;0;1656
;;onderwijsfunctie;3729;48718;0;52447
;;overige gebruiksfunctie;4917;29199;15;34132
;;sportfunctie;17;19029;0;19046
;;winkelfunctie;7267;50961;0;58227
;;woonfunctie;864547;309258;6401;1180206
415;Landsmeer;onbekend;59903;63196;1112;124212
;;bijeenkomstfunctie;3655;6186;0;9840
;;gezondheidszorgfunctie;1136;1750;0;2886
;;industriefunctie;9521;18002;0;27523
;;kantoorfunctie;4369;10586;0;14955
;;logiesfunctie;101;0;0;101
;;onderwijsfunctie;742;4952;0;5694
;;overige gebruiksfunctie;2611;8176;63;10850
;;sportfunctie;120;6193;0;6314
;;winkelfunctie;3267;9867;0;13134
;;woonfunctie;284783;82575;5049;372406
416;Langedijk;onbekend;87573;145721;1327;234622
;;bijeenkomstfunctie;7867;8031;0;15899
;;gezondheidszorgfunctie;688;8289;0;8977
;;industriefunctie;48896;263876;942;313714
;;kantoorfunctie;5325;59620;1055;66000
;;logiesfunctie;614;7230;0;7844
;;onderwijsfunctie;934;19742;0;20676
;;overige gebruiksfunctie;2077;8027;7;10110
;;sportfunctie;668;19558;0;20226
;;winkelfunctie;4967;53970;0;58937
;;woonfunctie;822177;150276;15697;988150
417;Laren (NH.);onbekend;62749;45488;2597;110834
;;bijeenkomstfunctie;6844;8469;259;15572
;;gezondheidszorgfunctie;2304;8628;0;10932
;;industriefunctie;1674;4026;0;5699
;;kantoorfunctie;12168;10011;0;22179
;;logiesfunctie;65;157;0;222
;;onderwijsfunctie;4854;7859;0;12712
;;overige gebruiksfunctie;5519;6044;165;11728
;;sportfunctie;755;9436;0;10191
;;winkelfunctie;14868;7002;0;21870
;;woonfunctie;469599;59269;1711;530579
420;Medemblik;onbekend;2095459;1005490;46733;3147683
;;bijeenkomstfunctie;18258;31016;995;50268
;;gezondheidszorgfunctie;1475;6627;69;8171
;;industriefunctie;296217;680927;6835;983978
;;kantoorfunctie;11389;157232;480;169101
;;logiesfunctie;28865;41422;132;70419
;;onderwijsfunctie;4150;25563;0;29713
;;overige gebruiksfunctie;3504;14085;112;17701
;;sportfunctie;1298;29924;0;31223
;;winkelfunctie;17239;120672;0;137911
;;woonfunctie;1599596;311921;26404;1937920
431;Oostzaan;onbekend;37123;44140;642;81905
;;bijeenkomstfunctie;2691;7073;0;9764
;;gezondheidszorgfunctie;121;926;0;1047
;;industriefunctie;7076;53378;0;60454
;;kantoorfunctie;279;20353;0;20632
;;logiesfunctie;0;4089;0;4089
;;onderwijsfunctie;584;3388;0;3972
;;overige gebruiksfunctie;2632;9542;3287;15461
;;sportfunctie;506;3710;0;4216
;;winkelfunctie;1266;7549;0;8815
;;woonfunctie;234790;50973;871;286634
432;Opmeer;onbekend;241942;177991;837;420770
;;bijeenkomstfunctie;6467;19865;173;26505
;;gezondheidszorgfunctie;968;355;0;1323
;;industriefunctie;27016;188219;11171;226406
;;kantoorfunctie;1797;17925;0;19721
;;logiesfunctie;6675;2936;0;9611
;;onderwijsfunctie;0;5669;0;5669
;;overige gebruiksfunctie;1715;5200;3728;10643
;;sportfunctie;451;12770;0;13221
;;winkelfunctie;5894;22874;0;28768
;;woonfunctie;439744;77081;12323;529148
437;Ouder-Amstel;onbekend;78218;60572;2433;141223
;;bijeenkomstfunctie;6468;9923;0;16390
;;gezondheidszorgfunctie;702;3308;0;4011
;;industriefunctie;7890;137122;1683;146695
;;kantoorfunctie;3851;139731;395;143978
;;logiesfunctie;0;2909;0;2909
;;onderwijsfunctie;1514;12002;0;13516
;;overige gebruiksfunctie;13421;27153;987;41560
;;sportfunctie;1697;26173;0;27870
;;winkelfunctie;2743;73719;0;76462
;;woonfunctie;259904;125855;8738;394497
439;Purmerend;onbekend;50700;180396;5096;236192
;;bijeenkomstfunctie;8296;59711;0;68007
;;gezondheidszorgfunctie;2209;28605;0;30814
;;industriefunctie;9971;318260;7360;335590
;;kantoorfunctie;2448;94069;404;96921
;;logiesfunctie;101;624;135;860
;;onderwijsfunctie;4694;70219;0;74913
;;overige gebruiksfunctie;5398;57641;860;63899
;;sportfunctie;1800;45467;0;47267
;;standplaats;0;599;0;599
;;winkelfunctie;13738;106706;5598;126042
;;woonfunctie;1233225;635574;17592;1886391
441;Schagen;onbekend;520493;756615;39935;1317042
;;bijeenkomstfunctie;15439;28535;0;43974
;;gezondheidszorgfunctie;1598;5399;0;6997
;;industriefunctie;156491;504376;7145;668012
;;kantoorfunctie;8584;72643;0;81227
;;logiesfunctie;35812;44209;2519;82541
;;onderwijsfunctie;928;54882;0;55810
;;overige gebruiksfunctie;7260;50559;55;57875
;;sportfunctie;6962;34562;0;41524
;;standplaats;0;35;39;75
;;winkelfunctie;22311;89863;803;112976
;;woonfunctie;1583907;547578;21564;2153050
448;Texel;onbekend;215544;134017;2947;352508
;;bijeenkomstfunctie;17095;25564;0;42658
;;gezondheidszorgfunctie;326;1874;281;2481
;;industriefunctie;159435;102721;1259;263415
;;kantoorfunctie;18162;62453;0;80615
;;logiesfunctie;42945;23586;2098;68630
;;onderwijsfunctie;4987;9098;0;14086
;;overige gebruiksfunctie;19639;16971;472;37082
;;sportfunctie;5254;11826;0;17080
;;standplaats;0;444;0;444
;;winkelfunctie;42297;59211;0;101508
;;woonfunctie;639431;183818;5322;828571
450;Uitgeest;onbekend;72681;71993;1233;145907
;;bijeenkomstfunctie;3457;9711;0;13169
;;gezondheidszorgfunctie;0;430;0;430
;;industriefunctie;11398;72798;81;84277
;;kantoorfunctie;915;13055;748;14718
;;logiesfunctie;6324;127;0;6451
;;onderwijsfunctie;1393;5402;0;6795
;;overige gebruiksfunctie;4788;25797;35;30620
;;sportfunctie;383;4292;0;4675
;;winkelfunctie;2451;16922;0;19373
;;woonfunctie;341030;54800;3343;399173
451;Uithoorn;onbekend;986733;1286240;28629;2301601
;;bijeenkomstfunctie;5545;20926;0;26471
;;gezondheidszorgfunctie;0;3282;0;3282
;;industriefunctie;127564;518788;2919;649272
;;kantoorfunctie;3437;36873;0;40310
;;logiesfunctie;742;480;526;1748
;;onderwijsfunctie;2376;26678;0;29054
;;overige gebruiksfunctie;4307;18658;119;23084
;;sportfunctie;2717;17429;0;20145
;;winkelfunctie;4521;39119;0;43640
;;woonfunctie;506793;256912;28417;792122
453;Velsen;onbekend;102752;323965;5881;432598
;;bijeenkomstfunctie;17890;37571;467;55928
;;celfunctie;0;1987;0;1987
;;gezondheidszorgfunctie;490;738;0;1228
;;industriefunctie;52931;1263676;3829;1320436
;;kantoorfunctie;17321;164520;338;182179
;;logiesfunctie;3543;12829;295;16667
;;onderwijsfunctie;5347;68023;0;73370
;;overige gebruiksfunctie;23925;130781;6096;160802
;;sportfunctie;4366;38738;0;43104
;;winkelfunctie;18158;68753;737;87648
;;woonfunctie;1005876;596243;12307;1614426
457;Weesp;onbekend;48982;67836;3423;120241
;;bijeenkomstfunctie;8966;15674;0;24640
;;gezondheidszorgfunctie;987;2910;0;3897
;;industriefunctie;6568;70787;0;77355
;;kantoorfunctie;5396;305097;0;310493
;;logiesfunctie;1549;1238;0;2787
;;onderwijsfunctie;538;5926;133;6597
;;overige gebruiksfunctie;1845;14309;40;16195
;;sportfunctie;983;14893;0;15876
;;winkelfunctie;4124;26515;0;30639
;;woonfunctie;241487;185410;22376;449272
473;Zandvoort;onbekend;22939;41402;669;65010
;;bijeenkomstfunctie;8678;15326;0;24004
;;gezondheidszorgfunctie;443;231;0;674
;;industriefunctie;9034;26779;46;35860
;;kantoorfunctie;2092;5209;0;7301
;;logiesfunctie;1814;11488;0;13302
;;onderwijsfunctie;1842;4248;0;6090
;;overige gebruiksfunctie;3485;34584;1149;39219
;;sportfunctie;0;5983;0;5983
;;standplaats;0;1875;0;1875
;;winkelfunctie;3669;12476;17;16161
;;woonfunctie;288708;233425;2417;524550
479;Zaanstad;onbekend;286050;732411;6992;1025454
;;bijeenkomstfunctie;39706;97993;156;137855
;;celfunctie;0;28422;0;28422
;;gezondheidszorgfunctie;5255;59257;0;64512
;;industriefunctie;95629;1159380;21922;1276931
;;kantoorfunctie;21850;252916;813;275580
;;ligplaats;0;16;0;16
;;logiesfunctie;3074;3896;0;6970
;;onderwijsfunctie;9999;131867;0;141866
;;overige gebruiksfunctie;15812;115616;1572;133001
;;sportfunctie;8599;65055;103;73758
;;standplaats;0;900;250;1150
;;winkelfunctie;53562;476532;156;530251
;;woonfunctie;2270154;1181017;47760;3498931
482;Alblasserdam;onbekend;40880;110899;6804;158583
;;bijeenkomstfunctie;4103;13049;0;17152
;;gezondheidszorgfunctie;174;5090;0;5264
;;industriefunctie;15968;293572;0;309540
;;kantoorfunctie;1854;56277;181;58312
;;logiesfunctie;459;0;0;459
;;onderwijsfunctie;2764;8288;0;11052
;;overige gebruiksfunctie;1969;26716;43;28729
;;sportfunctie;2476;4246;0;6722
;;winkelfunctie;3727;33801;0;37528
;;woonfunctie;314559;129173;12125;455858
484;Alphen aan den Rijn;onbekend;1217822;812101;14090;2044013
;;bijeenkomstfunctie;26077;53130;59;79266
;;celfunctie;0;1673;0;1673
;;gezondheidszorgfunctie;4132;12665;0;16797
;;industriefunctie;257432;938034;5427;1200893
;;kantoorfunctie;18135;144111;0;162246
;;logiesfunctie;3134;67;0;3201
;;onderwijsfunctie;6418;104077;0;110495
;;overige gebruiksfunctie;40934;178920;6193;226048
;;sportfunctie;1732;49041;371;51144
;;standplaats;60;0;0;60
;;winkelfunctie;32762;209091;0;241854
;;woonfunctie;1911313;961853;72534;2945701
489;Barendrecht;onbekend;97760;331756;4856;434372
;;bijeenkomstfunctie;8382;31367;0;39749
;;gezondheidszorgfunctie;889;1478;0;2368
;;industriefunctie;11965;365719;852;378536
;;kantoorfunctie;6866;106062;235;113162
;;logiesfunctie;0;949;0;949
;;onderwijsfunctie;606;32107;0;32712
;;overige gebruiksfunctie;8616;52327;111;61054
;;sportfunctie;0;22121;0;22121
;;winkelfunctie;6819;170083;3186;180088
;;woonfunctie;858232;376675;21469;1256377
498;Drechterland;onbekend;407942;453577;20744;882263
;;bijeenkomstfunctie;8833;9334;0;18167
;;gezondheidszorgfunctie;720;2835;0;3555
;;industriefunctie;102860;295131;3169;401160
;;kantoorfunctie;20847;23586;2450;46882
;;logiesfunctie;10285;28523;905;39714
;;onderwijsfunctie;0;13175;0;13175
;;overige gebruiksfunctie;4810;10936;48;15794
;;sportfunctie;3946;13146;0;17092
;;winkelfunctie;12304;45909;176;58388
;;woonfunctie;690951;128977;12522;832450
501;Brielle;onbekend;365286;338294;1717;705296
;;bijeenkomstfunctie;11610;5222;42;16873
;;gezondheidszorgfunctie;889;12154;0;13044
;;industriefunctie;313576;420929;22;734527
;;kantoorfunctie;7766;12604;2663;23033
;;logiesfunctie;1693;6614;183;8489
;;onderwijsfunctie;2154;21196;0;23350
;;overige gebruiksfunctie;2276;11442;59;13777
;;sportfunctie;2249;6838;0;9087
;;winkelfunctie;7722;22611;0;30333
;;woonfunctie;418263;177622;8388;604273
502;Capelle aan den IJssel;onbekend;35942;174629;1809;212380
;;bijeenkomstfunctie;4394;22268;0;26662
;;celfunctie;20;0;0;20
;;gezondheidszorgfunctie;306;25513;0;25820
;;industriefunctie;7628;139650;0;147278
;;kantoorfunctie;15801;196565;2683;215048
;;logiesfunctie;0;3836;0;3836
;;onderwijsfunctie;979;49667;0;50647
;;overige gebruiksfunctie;9030;132359;253;141642
;;sportfunctie;1948;23961;0;25909
;;winkelfunctie;5443;117688;0;123131
;;woonfunctie;785666;538132;6453;1330252
503;Delft;onbekend;79015;182107;8677;269799
;;bijeenkomstfunctie;40516;90005;242;130763
;;gezondheidszorgfunctie;1776;47801;119;49696
;;industriefunctie;7160;123113;2817;133091
;;kantoorfunctie;21011;272228;1290;294529
;;logiesfunctie;6195;4799;0;10994
;;onderwijsfunctie;12489;222890;10226;245605
;;overige gebruiksfunctie;19290;254872;809;274970
;;sportfunctie;2435;44305;0;46740
;;winkelfunctie;57373;232106;237;289716
;;woonfunctie;873816;893613;42896;1810325
505;Dordrecht;onbekend;212733;697597;7607;917937
;;bijeenkomstfunctie;26067;87370;432;113868
;;gezondheidszorgfunctie;3510;80037;0;83547
;;industriefunctie;53037;654779;4331;712147
;;kantoorfunctie;29849;390005;4694;424548
;;logiesfunctie;3107;13926;0;17034
;;onderwijsfunctie;8108;107611;525;116244
;;overige gebruiksfunctie;15724;154846;336;170906
;;sportfunctie;1638;61411;0;63049
;;standplaats;1320;2163;0;3484
;;winkelfunctie;32955;159998;1961;194913
;;woonfunctie;1616928;961898;26172;2604998
512;Gorinchem;onbekend;45990;203247;5120;254357
;;bijeenkomstfunctie;8397;44267;129;52793
;;gezondheidszorgfunctie;1388;27280;0;28668
;;industriefunctie;7118;391285;982;399385
;;kantoorfunctie;7158;141757;16777;165691
;;logiesfunctie;294;755;0;1048
;;onderwijsfunctie;3972;57860;0;61832
;;overige gebruiksfunctie;10089;49164;4068;63321
;;sportfunctie;995;23926;0;24921
;;winkelfunctie;14667;72759;13708;101135
;;woonfunctie;538218;296647;38466;873332
513;Gouda;onbekend;60768;176166;4645;241580
;;bijeenkomstfunctie;21162;25075;37;46275
;;gezondheidszorgfunctie;1801;6134;0;7936
;;industriefunctie;18888;172034;673;191596
;;kantoorfunctie;13250;206344;42;219635
;;logiesfunctie;46;1107;0;1154
;;onderwijsfunctie;9756;106319;0;116076
;;overige gebruiksfunctie;19863;114807;676;135346
;;sportfunctie;5950;46338;1036;53324
;;winkelfunctie;25356;142197;39;167592
;;woonfunctie;1086330;479598;39054;1604982
518;'s-Gravenhage (gemeente);onbekend;262985;700125;14400;977510
;;bijeenkomstfunctie;100496;303225;4416;408137
;;celfunctie;0;495;0;495
;;gezondheidszorgfunctie;3551;107381;0;110932
;;industriefunctie;116532;1232912;3416;1352860
;;kantoorfunctie;124907;704315;312;829535
;;logiesfunctie;23263;74761;38;98062
;;onderwijsfunctie;35971;366488;0;402459
;;overige gebruiksfunctie;167228;938560;3637;1109426
;;sportfunctie;4456;149577;146;154179
;;standplaats;0;16;0;16
;;winkelfunctie;89672;402732;346;492751
;;woonfunctie;3479411;6196131;124872;9800414
523;Hardinxveld-Giessendam;onbekend;75886;114702;3896;194484
;;bijeenkomstfunctie;1968;8398;0;10366
;;gezondheidszorgfunctie;41;2026;0;2067
;;industriefunctie;3267;70622;555;74443
;;kantoorfunctie;14951;246505;5708;267164
;;logiesfunctie;148;2059;72;2279
;;onderwijsfunctie;802;12665;0;13466
;;overige gebruiksfunctie;4484;12324;20;16828
;;sportfunctie;420;6467;0;6887
;;winkelfunctie;2705;12777;36;15518
;;woonfunctie;356939;133818;16698;507454
530;Hellevoetsluis;onbekend;110089;167698;2718;280506
;;bijeenkomstfunctie;9127;14982;705;24813
;;gezondheidszorgfunctie;3156;7398;0;10554
;;industriefunctie;9414;121356;36;130805
;;kantoorfunctie;3872;28900;0;32772
;;logiesfunctie;23957;11729;74;35761
;;onderwijsfunctie;0;37296;0;37296
;;overige gebruiksfunctie;51360;36130;266;87757
;;sportfunctie;1585;21778;0;23363
;;standplaats;68;897;0;965
;;winkelfunctie;5746;106503;0;112249
;;woonfunctie;831644;291029;10345;1133019
531;Hendrik-Ido-Ambacht;onbekend;34472;127913;3111;165496
;;bijeenkomstfunctie;3226;11664;330;15219
;;gezondheidszorgfunctie;464;12945;335;13743
;;industriefunctie;115211;195340;0;310550
;;kantoorfunctie;2898;54901;7692;65492
;;onderwijsfunctie;447;15406;0;15852
;;overige gebruiksfunctie;3705;18574;159;22438
;;sportfunctie;0;5318;0;5318
;;winkelfunctie;4382;34013;0;38396
;;woonfunctie;553749;149494;19626;722869
532;Stede Broec;onbekend;269639;281959;745;552343
;;bijeenkomstfunctie;3692;9931;0;13623
;;gezondheidszorgfunctie;1032;2838;0;3870
;;industriefunctie;10429;85586;0;96015
;;kantoorfunctie;2145;18871;0;21016
;;logiesfunctie;408;6994;162;7564
;;onderwijsfunctie;1097;29808;0;30905
;;overige gebruiksfunctie;1860;17145;111;19116
;;sportfunctie;777;21141;0;21917
;;winkelfunctie;1721;72853;0;74573
;;woonfunctie;590624;90207;8935;689767
534;Hillegom;onbekend;108661;206882;2412;317954
;;bijeenkomstfunctie;2874;8091;0;10964
;;gezondheidszorgfunctie;1091;2087;0;3178
;;industriefunctie;19201;295864;124;315189
;;kantoorfunctie;1977;58909;0;60885
;;logiesfunctie;2832;4345;0;7177
;;onderwijsfunctie;3515;15123;0;18638
;;overige gebruiksfunctie;3866;12958;143;16968
;;sportfunctie;1399;19093;4208;24700
;;winkelfunctie;18794;50388;0;69181
;;woonfunctie;437189;177281;18248;632717
537;Katwijk;onbekend;255045;396649;7675;659369
;;bijeenkomstfunctie;18190;52517;1679;72386
;;gezondheidszorgfunctie;2219;32618;419;35256
;;industriefunctie;302456;795580;24003;1122039
;;kantoorfunctie;8895;147870;592;157357
;;ligplaats;146;0;0;146
;;logiesfunctie;2526;5327;1626;9480
;;onderwijsfunctie;4407;58485;305;63197
;;overige gebruiksfunctie;17260;77310;1135;95704
;;sportfunctie;1276;28160;74;29510
;;standplaats;0;0;1032;1032
;;winkelfunctie;22732;106598;0;129330
;;woonfunctie;1061889;441600;44609;1548098
542;Krimpen aan den IJssel;onbekend;30301;91317;1395;123014
;;bijeenkomstfunctie;8829;26939;0;35768
;;gezondheidszorgfunctie;201;588;0;788
;;industriefunctie;8281;140267;0;148547
;;kantoorfunctie;4163;101495;0;105658
;;logiesfunctie;0;260;0;260
