Gemeentenummer 2021;Gemeentenaam 2021;Gebruiksfunctie;Geen plat dak (m2);Wel plat dak (m2);Onbekend (m2);Dakoppervlak totaal (m2)
;;sportfunctie;3247;67093;956;71296
;;standplaats;3908;601;1239;5748
;;winkelfunctie;34910;467740;3603;506254
;;woonfunctie;2944698;1758924;55063;4758685
118;Hoogeveen;onbekend;443158;475511;18099;936768
;;bijeenkomstfunctie;16937;67792;1853;86582
;;gezondheidszorgfunctie;3593;22243;855;26691
;;industriefunctie;24230;710449;1703;736381
;;kantoorfunctie;4429;161649;1705;167783
;;logiesfunctie;1541;3962;0;5503
;;onderwijsfunctie;6903;75737;0;82640
;;overige gebruiksfunctie;8438;61431;397;70266
;;sportfunctie;3598;24484;0;28082
;;standplaats;511;0;0;511
;;winkelfunctie;15427;254676;79;270182
;;woonfunctie;1499343;577201;38378;2114922
119;Meppel;onbekend;150570;148001;2195;300767
;;bijeenkomstfunctie;5043;23316;97;28455
;;gezondheidszorgfunctie;1218;22335;0;23553
;;industriefunctie;22783;436408;1131;460322
;;kantoorfunctie;10817;69974;0;80790
;;logiesfunctie;947;265;0;1213
;;onderwijsfunctie;3766;54401;0;58167
;;overige gebruiksfunctie;5208;24268;183;29658
;;sportfunctie;99;29986;0;30085
;;winkelfunctie;17090;147076;121;164287
;;woonfunctie;907161;299496;28197;1234854
141;Almelo;onbekend;367227;748871;23553;1139650
;;bijeenkomstfunctie;11343;86158;0;97502
;;gezondheidszorgfunctie;3053;48734;1315;53101
;;industriefunctie;227732;930016;25066;1182814
;;kantoorfunctie;25977;369138;7122;402237
;;logiesfunctie;462;10752;0;11214
;;onderwijsfunctie;7408;132068;0;139475
;;overige gebruiksfunctie;9155;115494;1325;125973
;;sportfunctie;1669;40264;369;42302
;;standplaats;200;109;0;309
;;winkelfunctie;21531;170841;254;192626
;;woonfunctie;1647132;696806;71355;2415293
147;Borne;onbekend;152196;119286;6452;277934
;;bijeenkomstfunctie;7198;8003;367;15568
;;gezondheidszorgfunctie;2389;1306;0;3695
;;industriefunctie;13890;86943;12053;112886
;;kantoorfunctie;3614;21570;4361;29545
;;logiesfunctie;370;0;3116;3485
;;onderwijsfunctie;2349;21823;4016;28189
;;overige gebruiksfunctie;2784;8094;587;11465
;;sportfunctie;157;16654;470;17282
;;winkelfunctie;10554;64653;32;75239
;;woonfunctie;686236;129091;55269;870596
148;Dalfsen;onbekend;923343;596383;14924;1534650
;;bijeenkomstfunctie;14412;22438;424;37274
;;gezondheidszorgfunctie;1181;3739;0;4920
;;industriefunctie;24743;195213;1739;221695
;;kantoorfunctie;6739;55460;636;62835
;;logiesfunctie;18451;4870;253;23574
;;onderwijsfunctie;2359;19049;0;21408
;;overige gebruiksfunctie;5655;29178;211;35044
;;sportfunctie;4149;22555;0;26703
;;standplaats;130;0;0;130
;;winkelfunctie;8507;96634;0;105141
;;woonfunctie;1180560;183671;20787;1385018
150;Deventer;onbekend;587118;654824;11430;1253372
;;bijeenkomstfunctie;35581;72274;8;107863
;;celfunctie;0;0;133;133
;;gezondheidszorgfunctie;2933;38523;0;41456
;;industriefunctie;37716;759481;132;797328
;;kantoorfunctie;28243;257676;10458;296377
;;logiesfunctie;4245;4006;0;8252
;;onderwijsfunctie;14431;106063;0;120494
;;overige gebruiksfunctie;13839;150278;1831;165949
;;sportfunctie;2047;21231;0;23278
;;standplaats;257;408;0;665
;;winkelfunctie;48946;225115;627;274687
;;woonfunctie;2053399;795737;54800;2903937
153;Enschede;onbekend;525421;581138;25161;1131720
;;bijeenkomstfunctie;35597;147525;4539;187661
;;gezondheidszorgfunctie;4713;68607;0;73320
;;industriefunctie;71659;1309782;36309;1417750
;;kantoorfunctie;29796;265469;9969;305234
;;logiesfunctie;4359;16308;0;20668
;;onderwijsfunctie;12361;168719;562;181642
;;overige gebruiksfunctie;81663;514742;49585;645990
;;sportfunctie;6774;106294;0;113068
;;standplaats;163;0;0;163
;;winkelfunctie;36762;372216;666;409644
;;woonfunctie;3242832;1430744;86560;4760136
158;Haaksbergen;onbekend;589520;296901;11531;897952
;;bijeenkomstfunctie;13742;18178;0;31920
;;gezondheidszorgfunctie;1008;1198;0;2205
;;industriefunctie;10846;398255;11055;420156
;;kantoorfunctie;2756;31636;7087;41479
;;logiesfunctie;18713;7034;999;26746
;;onderwijsfunctie;3278;17992;0;21270
;;overige gebruiksfunctie;2970;7265;961;11197
;;sportfunctie;0;13358;674;14032
;;winkelfunctie;14813;71920;0;86733
;;woonfunctie;843478;151316;18813;1013607
160;Hardenberg;onbekend;1552467;854186;66937;2473591
;;bijeenkomstfunctie;35988;100521;275;136783
;;celfunctie;0;9473;0;9473
;;gezondheidszorgfunctie;3564;39157;0;42721
;;industriefunctie;116992;553820;10351;681163
;;kantoorfunctie;11980;173461;11890;197332
;;logiesfunctie;68071;14301;256;82628
;;onderwijsfunctie;10499;61152;0;71651
;;overige gebruiksfunctie;16288;50027;911;67226
;;sportfunctie;1980;31403;4371;37754
;;standplaats;0;169;0;169
;;winkelfunctie;39740;186674;2002;228415
;;woonfunctie;2143279;406656;72129;2622064
163;Hellendoorn;onbekend;670480;532574;24141;1227195
;;bijeenkomstfunctie;8919;34622;327;43868
;;gezondheidszorgfunctie;3969;16096;0;20065
;;industriefunctie;14201;240457;4361;259020
;;kantoorfunctie;4992;40694;0;45686
;;logiesfunctie;31879;4812;2474;39165
;;onderwijsfunctie;5762;35631;0;41392
;;overige gebruiksfunctie;4518;20505;8545;33568
;;sportfunctie;4203;22426;0;26629
;;winkelfunctie;9203;157064;0;166267
;;woonfunctie;1116911;256637;24355;1397903
164;Hengelo (O.);onbekend;311804;445475;12121;769400
;;bijeenkomstfunctie;14682;64550;1281;80512
;;gezondheidszorgfunctie;2357;41228;613;44198
;;industriefunctie;21786;717907;17615;757308
;;kantoorfunctie;12253;320757;5581;338591
;;logiesfunctie;4372;6245;1722;12340
;;onderwijsfunctie;13264;136784;4190;154239
;;overige gebruiksfunctie;13346;99838;1009;114193
;;sportfunctie;1002;32483;2183;35668
;;standplaats;107;44;0;151
;;winkelfunctie;11927;351015;7850;370792
;;woonfunctie;1832877;768614;59863;2661354
166;Kampen;onbekend;985695;557710;11125;1554530
;;bijeenkomstfunctie;30638;37080;1117;68835
;;gezondheidszorgfunctie;3211;11729;55;14995
;;industriefunctie;338156;619216;4845;962216
