"Geslacht";"Leeftijd";"Perioden";"Regio's";"Bevolking (aantal)";"Onderwijsniveau 3 categorieën/1 Laag onderwijsniveau (%)";"Onderwijsniveau 3 categorieën/2 Middelbaar onderwijsniveau (%)";"Onderwijsniveau 3 categorieën/3 Hoog onderwijsniveau (%)"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Echt-Susteren";"   24200";"    29.8";"    43.0";"    27.2"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Edam-Volendam";"   27600";"    33.5";"    42.5";"    24.0"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Ede";"   88300";"    26.6";"    43.0";"    30.4"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Eemnes";"    7000";"    20.4";"    42.2";"    37.4"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Eemsdelta";"   33700";"    29.4";"    52.3";"    18.3"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Eemsmond";"";"";"";""
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Eersel";"   14700";"    24.6";"    45.0";"    30.4"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Eijsden-Margraten";"   19200";"    20.9";"    41.6";"    37.5"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Eindhoven";"  186300";"    23.8";"    35.1";"    41.1"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Elburg";"   17200";"    32.0";"    45.4";"    22.6"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Emmen";"   81200";"    33.7";"    48.7";"    17.6"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Enkhuizen";"   14000";"    30.7";"    45.2";"    24.1"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Enschede";"  124600";"    27.3";"    42.9";"    29.8"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Epe";"   24400";"    30.3";"    45.5";"    24.2"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Ermelo";"   20100";"    27.8";"    43.5";"    28.8"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Etten-Leur";"   32800";"    28.1";"    44.3";"    27.6"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Ferwerderadiel";"";"";"";""
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Franekeradeel";"";"";"";""
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"De Friese Meren";"";"";"";""
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"De Fryske Marren";"   38100";"    27.6";"    47.9";"    24.6"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Gaasterlân-Sleat";"";"";"";""
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Geertruidenberg";"   16500";"    31.8";"    46.2";"    22.1"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Geldermalsen";"";"";"";""
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Geldrop-Mierlo";"   29900";"    26.8";"    42.4";"    30.8"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Gemert-Bakel";"   23400";"    29.9";"    46.9";"    23.2"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Gennep";"   13000";"    27.1";"    48.3";"    24.6"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Giessenlanden";"";"";"";""
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Gilze en Rijen";"   20000";"    26.8";"    46.8";"    26.4"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Goeree-Overflakkee";"   37800";"    30.5";"    48.6";"    20.9"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Goes";"   28900";"    27.9";"    45.0";"    27.2"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Goirle";"   17700";"    24.6";"    42.0";"    33.4"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Gooise Meren";"   41500";"    19.5";"    33.7";"    46.8"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Gorinchem";"   28500";"    29.3";"    42.3";"    28.3"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Gouda";"   55900";"    27.0";"    38.1";"    34.9"
"Totaal mannen en vrouwen";"15 tot 75 jaar";"2021";"Graft-De Rijp";"";"";"";""
